번호,용어,설명
59,경제5단체,"우리나라에는 많은 경제 관련 단체가 있는데 그 중 대한상공회의소, 전국경제인연합회(전경련), 한국경영자총협회(경총), 한국무역협회 및 중소기업협동조합중앙회를 일컬어 경제5단체라고 한다. 이들 단체는 기본적으로 소속 회원사들의 공동이익을 위해 활동하지만 정부의 경제정책 수립이나 현안사항에 대해서 여러 가지 의견을 제시하기도 한다.

대한상공회의소는 1884년에설립된 민간경제단체로서 100만개 이상의 기업이 회원으로 참여하고 있으며 전국적으로 60여개 이상의 지역 상공회의소를 갖추고 상공업계의 권익을 대변하는 일을 하고 있다. 주요 경제 현안에 대한 전문적인 정보 제공, 기업의 정보화와 경영혁신을 지원하기 위한 서비스 제공 등의 일도 하고 있다.

전국경제인연합회는 1961년 설립된 민간경제단체로서 회원은 제조업, 무역, 금융, 건설 등 전국적인 업종별 단체 63개와 우리나라의 대표적인 대기업 350여개사로 구성되어 있다. 국내외 각종 경제문제에 대한 조사연구, 주요 경제현안에 관한 대정부 정책건의, 외국 경제단체 및 국제기구와의 교류협력, 자유시장경제 이념의 전파와 사회공헌 등의 사업을 전개하고 있다.

한국경영자총협회는 1970년에 설립된 사용자 대표 단체로서 전국적으로 4천여명 이상의 중견 기업인들이 회원사로 참여하고 있다. 주로 노사문제와 관련한 경영자들의 권익대변, 노동관계법 제·개정과 관련한 건의·권고, 노사분쟁 조정, 인사·노무관리의 합리화 등 기업경영에 도움이 되는 사업을 추진하고 있다.

한국무역협회는 6만여사 이상의 무역업체가 회원으로 참여하고 있는 단체로서 국내는 물론 해외에도 지부와 사무소 조직을 갖추고 있다. 1946년에 설립되었으며 해외시장 개척지원, 수출상품 홍보, 거래알선·무역상담, 조사·연구, 대정부 건의, 국제통상협력, 무역정보 제공, 무역전문인력 양성 등의 일을 하고 있다.

중소기업협동조합중앙회는 업종별로 조직화된 각급 협동조합을 중심으로 전체 중소기업의 이익을 대변하기 위하여 1962년에 설립된 단체이다. 전국적으로 780여개의 각급 조합이 회원으로 가입하고 있으며 중소기업 조직화 지원, 영역 보호, 자금지원사업 등의 일을 하고 있다."
60,경제성장률,"경제성장률이란 일정기간(보통 1년) 동안 한나라의 경제활동의 결과로 경제가 성장한 비율을 말하는 것으로 물가요인을 제거한 실질 국민총생산(GDP) 이 전년에 비하여 얼마나 커졌는가를 증감률(퍼센트)로 나타낸다. 일정시점의 국내총생산의 크기만으로는 우리가 작년보다 얼마나 더 잘 살게 되었는지 알 수 없다. 올해의 국내총생산과 작년의 국내총생산을 비교해서 국내총생산이 얼마나 변했는지를 나타내는 경제성장률을 알아야 한다.

예를들어 어떤 나라의 국내총생산이 지난해 100억원에서 올해 120억원으로 늘었다고 해보자. 이 나라의 올해 경제성장률은 20%가 된다. 20억원(국내총생산이 증가한 액수 : 올해 국내총생산 ― 지난해 국내총생산) 나누기 100억원(지난해 국내총생산)에 100을 곱해서 퍼센트로 나타낸 값이다.

수식으로 표시해 보면 아래의 <식 1>과 같다.

그런데 어른이 되면 더 이상 키가 크지 않는 것처럼 한 나라의 경제규모도 일정수준에 도달하면 그 이후엔 느리게 성장한다. 그래서 미국 등 선진국들의 경제성장률은 대개 2~3% 수준이고 개발도상국들은 7~8%의 높은 경제성장률을 보이는 경우가 많다."
61,경제심리지수(ESI),기업과 소비자 모두를 포함한 민간의 경제상황에 대한 심리를 종합적으로 파악하기 위하여 BSI 및 CSI 중 경기대응성이 높은 7개의 항목을 합성하여 작성한 지수
62,경제활동인구,"총인구중 만 15세 이상 인구를 노동가능인구 또는 생산가능인구라 하는데 이들 가운데 일하고자 하는 의지가 있는 사람을 경제활동인구라고 한다. 한편 노동가능인구중 경제활동인구에 포함되지 않는 사람을 비경제활동인구라고 한다. 즉, 경제활동인구 + 비경제활동인구 = 노동가능인구의 관계가 성립한다.

그런데 경제활동인구의 측정이 중요한 이유는 경기상황을 나타내는 주요 지표인 실업률을 측정하는 데 필요한 기초자료를 제공하기 때문이다. 경제활동인구중 취업상태에 있는 사람을 취업자, 실업상태에 있는 사람을 실업자라고 한다. 즉, 취업자 + 실업자 = 경제활동인구의 관계가 성립한다. 이로부터 실업률은 아래의 <식 2>와 같이 측정된다.
참고로 통계청에 따르면 우리나라의 2005. 12월 기준 경제활동인구는 2,353만명이며 실업률은 3.5%로 조사되었다."
63,경제활동참가율,"일반적으로 만15세 이상 인구중 경제활동인구(취업자+실업자)가 차지하는 비율을 말한다. 즉, 생산가능 인구 중 노동공급에 기여한 사람의 비율을 말한다. 경제활동인구는 15세 이상 인구중 수입 있는 일에 종사하거나 구직중에 있는 사람을 말하며 경제활동에 참여할 의사가 없는 나머지 사람을 비경제활동인구로 분류한다. 전 인구에 대한 경제활동인구의 비율을 조참가율이라 하고, 15세 이상 인구에 대한 경제활동인구의 비율을 순참가율이라 한다."
64,계급,관측치의 값에 따라 표본자료를 몇 개의 집단으로 분류할 때 관측치가 취하는 값의 범위를 몇 개로 나눈 구간 또는 집단을 계급 혹은 그룹이라고 한다.
65,계수,"함수관계에서 변량의 크기를 나타내는 값으로, 단위에 무관한 통계량(Dimensionless statistic)을 지칭할 때도 쓰여진다. 수학적으로는 변수, 벡터, 함수 등에 일정하게 곱해지는 인자를 나타낸다."
66,계절변동,"월별이나 분기별 경제시계열에는 매년 계절적으로 반복되는 1년 주기의 변동이 포함되어 있는 경우가 많다. 이러한 변동을 「계절성」 또는 「계절변동요인」이라고 부른다. 계절변동(일년주기의 변동)이 생기는 배경에 대해 구체적으로 살펴보면 다음과 같은 자연적, 사회적인 요인 등을 들 수 있다. 첫번째 기후나 기온 등 자연조건의 변화는 경제활동에 직접적인 영향을 미친다. 예를 들어 한랭지역에서는 동절기가 되면 농산물과 관련된 각종의 생산활동이 둔화된다. 두번째 연말 또는 연초, 여름 휴가, 황금주말(golden week), 명절(설날, 추석) 등을 포함한 달이나 2월 등은 다른 달에 비해 영업(가동)일수가 적어 생산량이 줄어든다. 세번째 일반적으로 12월 결산기가 되면 경영성과상의 관점에서 매출액이나 수주액, 수출 등이 늘어나고 자금수요가 증가되는 경향이 있다. 네번째 설날(추석)명절, 세모(歲暮), 여름휴가 등에는 국민생활에 관계되는 관습에 따라 보너스가 많이 지급되면 개인소비가 급증하고 이에 대응하여 소비재의 생산, 매출, 재고가 계절적으로 변동한다. 다섯번째 원료, 자재, 동력 등의 계절적인 제약으로 이를 사용하는 생산활동이 변동한다. 예를 들면 전력다소비형 산업인 철강업 등의 경우 하절기에 생산을 줄인다."
67,계절변동조정계열,"월별 또는 분기별 경제시계열(원계열)은 단기적인 경기동향에 관한 정보를 지니고 있으나 그 계열의 변동요인에는 기후나 사회습관 등의 영향에 의해 매년 계절적으로 재편성하게 되는 일년주기의 변동 즉 계절변동이 포함되어 있어 원계열 자체의 이용할 경우에는 경기동향의 판단 오류를 범할 확률이 높다고 할 수 있다. 따라서 경제시계열의 중요한 기조적 변화(경기의 순환이나 그 전환점 등)에 대한 정확한 인식을 바탕으로 적절한 판단하기 위하여 계절변동을 원계열로부터 제거하는 것이 필요하다. 실제의 계절조정방법에 있어서 원계열(Yt)은 계절변동성분(St) 외에 추세변동성분(Tt), 순환변동성분(Ct), 불규칙변동성분(It)으로 구성되어 있다고 하면 원계열(Yt)과 이들 4성분과의 관계에 대해서는 다음 중 어느 하나라고 통상 가정한다."
68,고용유발계수,최종수요가 한 단위 발생하였을 때 이를 충족시키기 위하여 각 산업부문에서 직·간접적으로 유발되는 피용자 수
69,고용주가 부담하는 사회부담금,"고용주의 사회부담금은 피고용자의 소득 또는 후생에 악영향을 미치는 사건이 발생하거나 그러한 환경에 접한 경우(예 : 질병, 사고, 퇴직) 피고용자가 사회적 수혜금을 받을 수 있도록 하기 위해 고용주가 지급하는 금액임"
70,고용주의 실제 사회부담금,"고용주의 실제 사회부담금은 고용주가 피고용자를 위해 사회보장기금, 보험회사, 민간 연금기금, 기타 사회보험기구에 지급하는 사회부담금을 말함"
71,고정가중방식,특정시점에 고정된 가중치를 사용하여 두 기간의 물량 또는 가격 변동을 측정하는 방식
72,고정가중방식(fixed base method),특정시점에 고정된 가중치를 사용하여 두 기간의 물량 또는 가격 변동을 측정하는 방식
73,고정금리,"고정금리는 예금을 하거나 대출을 받을 때 약정 기간 중 금리를 일정 수준으로 고정, 시장금리가 오르거나 내리더라도 적용 금리가 변동하지 않음"
74,고정부채,"고정부채는 대차대조표일의 다음날로부터 1년 이후에 지급기일이 도래하는 부채를 말한다. 여기에는 회사채, 장기차입금(장기금융기관차입금, 기타차입금), 장기부채성충당금 및 기타고정부채 등이 포함된다."
75,고정부채비율 ,자기자본에 대한 고정부채의 비율로서 자본구성의 안정성을 판단하는 보조지표이다. 고정부채비율은 자기자본에 대한 장기부채의 관계비율이므로 낮을수록 양호한 상태로 판단한다. 그러나 기업의 부채로 인한 위험은 유동부채에 달려있으며 고정부채는 오히려 자기자본보다 유리한 경우도 있으므로 이 비율이 반드시 낮다고 해서 기업에 이로울 수만은 없는 것이다. 따라서 이 비율을 검토할 때는 부채비율이나 유동부채비율 등을 비교하면서 다같이 검토할 필요가 있다. 
76,고정비 대 매출액 ,"고정비는 조업도에 관계없이 일정하게 발생하는 비용으로서 이 비율이 높으면 조업도가 상대적으로 낮은 것을 의미한다. 경기불황시에는 매출액 감소에도 불구하고 고정비 지출은 줄지 않아 이 비율이 전반적으로 높아지는 경향이 있다.
고정비에는 일반적으로 감가상각비, 보험료, 임차료, 이자비용 등을 포함한다."
77,고정비율 ,기업자산의 고정화 위험을 측정하는 대표적인 비율로서 운용기간이 비교적 장기에 속하는 고정자산을 얼마나 자기자본으로 충당하였는가를 나타내는 지표이다. 동 비율은 고정자산 투자는 상환기한이 없는 자기자본으로 충당하는 것이 안전하다는 이론적 관점에서 재무안정성 분석지표의 하나로 사용된다.
